,precinct,prediction,observed,random_prediction,date,perc,random_perc
91,43,2,12,5,2018-07-01,16.666666666666664,41.66666666666667
92,103,5,15,4,2018-07-01,33.33333333333333,26.666666666666668
93,67,5,10,5,2018-07-01,50.0,50.0
94,47,1,9,5,2018-07-01,11.11111111111111,55.55555555555556
95,75,7,22,2,2018-08-01,31.818181818181817,9.090909090909092
96,43,5,15,9,2018-08-01,33.33333333333333,60.0
97,103,6,19,6,2018-08-01,31.57894736842105,31.57894736842105
98,67,4,10,6,2018-08-01,40.0,60.0
99,47,0,12,0,2018-08-01,0.0,0.0
100,75,4,34,5,2018-09-01,11.76470588235294,14.705882352941178
101,43,2,15,0,2018-09-01,13.333333333333334,0.0
102,103,6,14,1,2018-09-01,42.857142857142854,7.142857142857142
103,67,4,15,3,2018-09-01,26.666666666666668,20.0
104,47,2,12,3,2018-09-01,16.666666666666664,25.0
105,75,7,38,12,2018-10-01,18.421052631578945,31.57894736842105
106,43,0,9,1,2018-10-01,0.0,11.11111111111111
107,103,4,12,3,2018-10-01,33.33333333333333,25.0
108,67,6,13,2,2018-10-01,46.15384615384615,15.384615384615385
109,47,5,24,6,2018-10-01,20.833333333333336,25.0
110,75,1,16,5,2018-11-01,6.25,31.25
111,43,5,15,11,2018-11-01,33.33333333333333,73.33333333333333
112,103,7,13,6,2018-11-01,53.84615384615385,46.15384615384615
113,67,4,10,4,2018-11-01,40.0,40.0
114,47,6,21,13,2018-11-01,28.57142857142857,61.904761904761905
115,75,9,28,15,2018-12-01,32.142857142857146,53.57142857142857
116,43,3,14,3,2018-12-01,21.428571428571427,21.428571428571427
117,103,5,13,4,2018-12-01,38.46153846153847,30.76923076923077
118,67,3,8,1,2018-12-01,37.5,12.5
119,47,0,10,4,2018-12-01,0.0,40.0
